Relative Period,Coefficient,Std. Error,p-value,Significance
-2,+0.011,(0.013),0.379,
-1,0.000,(ref),-,(ref)
0,+0.015,(0.022),0.493,
1,+0.041,(0.031),0.183,
2,+0.158,(0.073),0.032,**
